measure,hazard,haz_type,x_ent,m_fut_cost,x_haz_today,x_haz_fut,ben_aai_Assets,bcr_aai_Assets,npv_aai_Assets,ben_rp250_Assets,bcr_rp250_Assets,npv_rp250_Assets,cost_Assets,approv,feas
Beach nourishment,TCs,TC,0.84453125,1.1809892238480608,2.11328125,1.80859375,9161203608.889307,4.4891370317279495,101219040083.94305,111025080214.79199,54.40407399734838,4264158597622.374,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.85234375,0.9500159655116265,1.33984375,3.63671875,1296675023.9091146,0.7898716085599402,93908231661.66055,79233558168.46619,48.265245253031566,2310309462148.535,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.85234375,1.09017541138301,1.10546875,3.98828125,457001311.6472416,0.24259247538173825,91804580652.81,26602885655.79054,14.12175352467507,2160572326581.3452,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.86015625,0.8939819520564645,3.70703125,1.64453125,6631819000.681734,4.292992950426714,151792340444.62793,-0.00023719895679091574,-1.5354662864702643e-13,4625201011634.003,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.86015625,0.9565688838824791,1.87890625,3.33203125,5068384825.966329,3.066264353778328,117458649200.37048,147029634154.15698,88.94978215668645,3996019335198.465,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.86015625,0.9565688838824791,3.51953125,3.33203125,2960243744.91908,1.7908841150020722,186614672849.14612,-0.00023719895679091574,-1.4350029268401543e-13,4625201011634.003,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.86015625,0.9565688838824791,3.51953125,3.54296875,2960243744.91908,1.7908841150020722,186614672849.14612,-0.00023719895679091574,-1.4350029268401543e-13,4625201011634.003,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.86015625,0.9951022842797868,3.56640625,2.98046875,3996699244.0250382,2.3242883587399916,186254415333.49484,-0.00023719895679091574,-1.37943522970512e-13,4625201011634.003,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.86015625,1.0107915779489187,3.51953125,3.33203125,2960243744.91908,1.6948142984398378,186614672849.14612,-0.00023719895679091574,-1.3580239270305304e-13,4625201011634.003,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.86796875,0.912727410537296,2.46484375,1.76171875,8852429548.460436,5.6127751915048085,123321177268.05783,9.500052994298834e-05,6.023392953593725e-14,4648155400031.735,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.86796875,1.0477771988903886,2.23046875,1.76171875,10688346206.940346,5.903340464913939,107930416247.75409,120524298738.60963,66.56745168742842,4477806734857.427,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.86796875,1.0477771988903886,2.46484375,1.76171875,8852429548.460436,4.889335034104026,123321177268.05783,9.500052994298834e-05,5.247027573232513e-14,4648155400031.735,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.86796875,1.0477771988903886,2.46484375,2.86328125,7154426586.122801,3.9515014906319217,151734405595.7621,9.500052994298834e-05,5.247027573232513e-14,4648155400031.735,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.87578125,1.0247285215340804,1.31640625,1.59765625,6004957948.460541,3.3912312698749596,52261215844.7227,77555430851.05917,43.79854188956695,2292271873968.4473,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.87578125,1.0247285215340804,1.31640625,1.99609375,4209040444.691921,2.377007415325357,71373938132.57515,77214909550.11035,43.60623638239313,2292612395269.396,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.87578125,1.0247285215340804,3.05078125,1.59765625,8516393667.658264,4.809535846913279,135279925394.60599,340521300.94893265,0.1923055071738793,4670769267128.518,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.87578125,1.0499840344883735,2.53515625,3.37890625,4922958012.9922495,2.7133117663876125,159062070541.1943,9.500052994298834e-05,5.2359994748501795e-14,4671109788429.467,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.87578125,1.0662247682488415,2.20703125,2.08984375,10101282353.650837,5.482567732707476,119168182277.82822,120128281376.098,65.20077512932424,4467872235309.1455,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.87578125,1.1295022406705815,1.31640625,1.59765625,6004957948.460541,3.076657380773286,52261215844.7227,77555430851.05917,39.73574682702566,2292271873968.4473,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.88359375,1.0247285215340804,1.57421875,3.70703125,3216025918.649823,1.8162138275838566,99718615440.20105,199418170943.41647,112.61912954077496,2728162415305.6807,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.88359375,1.1809892238480608,3.49609375,1.85546875,6493899536.4886265,3.1821151602050692,161043690349.56924,-0.0005693984435248197,-2.790143902221842e-13,4694064176827.2,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.89140625,0.8790738768290844,2.16015625,1.36328125,11900255633.365295,7.834065135561212,74782347785.24141,215226505690.09427,141.68590292699614,4104703771100.4863,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.89140625,0.8790738768290844,3.05078125,1.36328125,9040025623.726688,5.9511452312717985,117028130603.6493,96293449989.1242,63.39100457872901,4374598064735.7656,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.89140625,0.8790738768290844,3.05078125,1.57421875,8659719216.498371,5.700785469474365,135050721438.75957,28142914909.29091,18.526780877361173,4688875650315.644,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.89140625,0.9068437169992886,2.11328125,3.05078125,6642741084.355936,4.239075373408087,132573453238.51176,117187434343.27257,74.78334029416851,4384393699301.121,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.89140625,1.0029378775744158,1.59765625,1.01171875,5746533627.382709,3.315798882446241,15300181131.170284,358669930499.0811,206.95560695040902,1096933619894.4836,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.89140625,1.0522154877598002,3.05078125,1.36328125,9040025623.726688,4.971886814900471,117028130603.6493,96293449989.1242,52.960041739886016,4374598064735.7656,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.89921875,0.8190107761519392,1.05859375,2.79296875,2154226928.9473195,1.522152258188108,87414383508.62265,25163093412.380005,17.77995574466667,2148255351311.4165,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.89921875,0.979290734727564,1.10546875,1.52734375,6178519847.0565,3.6511448460636577,44510811858.78284,75724579592.8544,44.74880964127771,2091876105999.5376,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.89921875,1.037059729110963,2.18359375,3.19140625,7009934927.892377,3.9117084499760946,137911047633.9574,121457354320.2114,67.77605842183729,4499466968118.168,1728000000.0,2,0.15935113630024111
